gender;category;sub_category;material;name;price;style_id;color;style_option_id;size;sku_id
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Purple;0EUARMLHUJ_PURPLE;XS;0EUARMLHUJ_PURPLE_XS
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Purple;0EUARMLHUJ_PURPLE;S;0EUARMLHUJ_PURPLE_S
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Purple;0EUARMLHUJ_PURPLE;M;0EUARMLHUJ_PURPLE_M
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Purple;0EUARMLHUJ_PURPLE;L;0EUARMLHUJ_PURPLE_L
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Purple;0EUARMLHUJ_PURPLE;XL;0EUARMLHUJ_PURPLE_XL
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Purple;0EUARMLHUJ_PURPLE;XXL;0EUARMLHUJ_PURPLE_XXL
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Grey;0EUARMLHUJ_GREY;XS;0EUARMLHUJ_GREY_XS
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Grey;0EUARMLHUJ_GREY;S;0EUARMLHUJ_GREY_S
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Grey;0EUARMLHUJ_GREY;M;0EUARMLHUJ_GREY_M
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Grey;0EUARMLHUJ_GREY;L;0EUARMLHUJ_GREY_L
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Grey;0EUARMLHUJ_GREY;XL;0EUARMLHUJ_GREY_XL
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Grey;0EUARMLHUJ_GREY;XXL;0EUARMLHUJ_GREY_XXL
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Teal;0EUARMLHUJ_TEAL;XS;0EUARMLHUJ_TEAL_XS
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Teal;0EUARMLHUJ_TEAL;S;0EUARMLHUJ_TEAL_S
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Teal;0EUARMLHUJ_TEAL;M;0EUARMLHUJ_TEAL_M
