gender;category;sub_category;material;name;price;style_id;color;style_option_id
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Purple;0EUARMLHUJ_PURPLE
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Grey;0EUARMLHUJ_GREY
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Teal;0EUARMLHUJ_TEAL
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Lime;0EUARMLHUJ_LIME
Women;Tailoring;Dress Shirts;Silk;Moyer;108.0;0EUARMLHUJ;Olive;0EUARMLHUJ_OLIVE
Women;Sweatshirts;Graphic Sweatshirts;Polyester;Collins;67.0;GGIDBTW0ZR;Purple;GGIDBTW0ZR_PURPLE
Women;Sweatshirts;Graphic Sweatshirts;Polyester;Collins;67.0;GGIDBTW0ZR;Beige;GGIDBTW0ZR_BEIGE
Women;Sweatshirts;Graphic Sweatshirts;Polyester;Collins;67.0;GGIDBTW0ZR;Teal;GGIDBTW0ZR_TEAL
Women;Sweatshirts;Graphic Sweatshirts;Polyester;Collins;67.0;GGIDBTW0ZR;Silver;GGIDBTW0ZR_SILVER
Women;Sweatshirts;Graphic Sweatshirts;Polyester;Collins;67.0;GGIDBTW0ZR;Grey;GGIDBTW0ZR_GREY
Women;Sweatshirts;Graphic Sweatshirts;Polyester;Collins;67.0;GGIDBTW0ZR;Blue;GGIDBTW0ZR_BLUE
Women;Sweatshirts;Graphic Sweatshirts;Polyester;Collins;67.0;GGIDBTW0ZR;Turquoise;GGIDBTW0ZR_TURQUOISE
Women;Sweatshirts;Graphic Sweatshirts;Polyester;Collins;67.0;GGIDBTW0ZR;Magenta;GGIDBTW0ZR_MAGENTA
Men;Tailoring;Vests;Linen;Hunt;118.0;FYOX2SYBJA;Beige;FYOX2SYBJA_BEIGE
Men;Tailoring;Vests;Linen;Hunt;118.0;FYOX2SYBJA;Orange;FYOX2SYBJA_ORANGE
Women;Jackets;Leather Jackets;Cotton;Norton;152.0;KUFSTM8VXD;Magenta;KUFSTM8VXD_MAGENTA
Women;Jackets;Leather Jackets;Cotton;Norton;152.0;KUFSTM8VXD;Green;KUFSTM8VXD_GREEN
Women;Jackets;Leather Jackets;Cotton;Norton;152.0;KUFSTM8VXD;Beige;KUFSTM8VXD_BEIGE
Women;Jackets;Leather Jackets;Cotton;Norton;152.0;KUFSTM8VXD;Purple;KUFSTM8VXD_PURPLE
Women;Jackets;Leather Jackets;Cotton;Norton;152.0;KUFSTM8VXD;Yellow;KUFSTM8VXD_YELLOW
Women;Jackets;Leather Jackets;Cotton;Norton;152.0;KUFSTM8VXD;Red;KUFSTM8VXD_RED
Women;Jackets;Leather Jackets;Cotton;Norton;152.0;KUFSTM8VXD;Black;KUFSTM8VXD_BLACK
Women;Knitwear;Chunky Knits;Cashmere;Williams;75.0;3GAVZ6TFXK;Teal;3GAVZ6TFXK_TEAL
Women;Knitwear;Chunky Knits;Cashmere;Williams;75.0;3GAVZ6TFXK;White;3GAVZ6TFXK_WHITE
Women;Knitwear;Chunky Knits;Cashmere;Williams;75.0;3GAVZ6TFXK;Olive;3GAVZ6TFXK_OLIVE
Women;Knitwear;Chunky Knits;Cashmere;Williams;75.0;3GAVZ6TFXK;Black;3GAVZ6TFXK_BLACK
Women;Knitwear;Chunky Knits;Cashmere;Williams;75.0;3GAVZ6TFXK;Lime;3GAVZ6TFXK_LIME
Women;Knitwear;Chunky Knits;Cashmere;Williams;75.0;3GAVZ6TFXK;Orange;3GAVZ6TFXK_ORANGE
Women;Knitwear;Chunky Knits;Cashmere;Williams;75.0;3GAVZ6TFXK;Pink;3GAVZ6TFXK_PINK
Men;Jeans;High-Waisted Jeans;Elastane;Leonard;113.0;OJUXDY1TCY;Orange;OJUXDY1TCY_ORANGE
Men;Jeans;High-Waisted Jeans;Elastane;Leonard;113.0;OJUXDY1TCY;Teal;OJUXDY1TCY_TEAL
Men;Jeans;High-Waisted Jeans;Elastane;Leonard;113.0;OJUXDY1TCY;Magenta;OJUXDY1TCY_MAGENTA
Men;Jeans;High-Waisted Jeans;Elastane;Leonard;113.0;OJUXDY1TCY;Crimson;OJUXDY1TCY_CRIMSON
Men;Jeans;High-Waisted Jeans;Elastane;Leonard;113.0;OJUXDY1TCY;Navy;OJUXDY1TCY_NAVY
Men;Jeans;High-Waisted Jeans;Elastane;Leonard;113.0;OJUXDY1TCY;Turquoise;OJUXDY1TCY_TURQUOISE
Men;T-Shirts;Plain Tees;Bamboo;Sanchez;44.0;ZCXWD5B9ZN;Grey;ZCXWD5B9ZN_GREY
Men;T-Shirts;Plain Tees;Bamboo;Sanchez;44.0;ZCXWD5B9ZN;Navy;ZCXWD5B9ZN_NAVY
Men;T-Shirts;Plain Tees;Bamboo;Sanchez;44.0;ZCXWD5B9ZN;Maroon;ZCXWD5B9ZN_MAROON
Men;T-Shirts;Plain Tees;Bamboo;Sanchez;44.0;ZCXWD5B9ZN;Black;ZCXWD5B9ZN_BLACK
Men;Accessories;Jewelry;Wool;Matthews;66.0;EKT03OKGGZ;Grey;EKT03OKGGZ_GREY
Men;Accessories;Jewelry;Wool;Matthews;66.0;EKT03OKGGZ;White;EKT03OKGGZ_WHITE
Men;Accessories;Jewelry;Wool;Matthews;66.0;EKT03OKGGZ;Blue;EKT03OKGGZ_BLUE
Women;Knitwear;Turtlenecks;Wool;Haas;48.0;BXUGQYKEVV;Purple;BXUGQYKEVV_PURPLE
Women;Knitwear;Turtlenecks;Wool;Haas;48.0;BXUGQYKEVV;Pink;BXUGQYKEVV_PINK
Women;Knitwear;Turtlenecks;Wool;Haas;48.0;BXUGQYKEVV;Green;BXUGQYKEVV_GREEN
Women;Knitwear;Turtlenecks;Wool;Haas;48.0;BXUGQYKEVV;White;BXUGQYKEVV_WHITE
Women;Shirts;Dress Shirts;Linen;Tran;55.0;EGDQKCP5O9;Purple;EGDQKCP5O9_PURPLE
Women;Shirts;Dress Shirts;Linen;Tran;55.0;EGDQKCP5O9;Teal;EGDQKCP5O9_TEAL
Women;Shirts;Dress Shirts;Linen;Tran;55.0;EGDQKCP5O9;Grey;EGDQKCP5O9_GREY
Women;Shirts;Dress Shirts;Linen;Tran;55.0;EGDQKCP5O9;Blue;EGDQKCP5O9_BLUE
Women;Shirts;Dress Shirts;Linen;Tran;55.0;EGDQKCP5O9;Magenta;EGDQKCP5O9_MAGENTA
Women;Shirts;Dress Shirts;Linen;Tran;55.0;EGDQKCP5O9;Lime;EGDQKCP5O9_LIME
Women;Shirts;Dress Shirts;Linen;Tran;55.0;EGDQKCP5O9;Beige;EGDQKCP5O9_BEIGE
Women;Shirts;Dress Shirts;Linen;Tran;55.0;EGDQKCP5O9;Maroon;EGDQKCP5O9_MAROON
Men;Shirts;Dress Shirts;Rayon;Adams;33.0;ZWJBPTA936;Blue;ZWJBPTA936_BLUE
Men;Shirts;Dress Shirts;Rayon;Adams;33.0;ZWJBPTA936;Crimson;ZWJBPTA936_CRIMSON
Women;Accessories;Sunglasses;Cotton;Forbes;26.0;RUUARYFU35;White;RUUARYFU35_WHITE
Women;Accessories;Sunglasses;Cotton;Forbes;26.0;RUUARYFU35;Magenta;RUUARYFU35_MAGENTA
Women;Accessories;Sunglasses;Cotton;Forbes;26.0;RUUARYFU35;Purple;RUUARYFU35_PURPLE
Women;Accessories;Sunglasses;Cotton;Forbes;26.0;RUUARYFU35;Navy;RUUARYFU35_NAVY
Women;Accessories;Sunglasses;Cotton;Forbes;26.0;RUUARYFU35;Black;RUUARYFU35_BLACK
Women;Accessories;Sunglasses;Cotton;Forbes;26.0;RUUARYFU35;Yellow;RUUARYFU35_YELLOW
Women;Accessories;Sunglasses;Cotton;Forbes;26.0;RUUARYFU35;Turquoise;RUUARYFU35_TURQUOISE
Women;Accessories;Sunglasses;Cotton;Forbes;26.0;RUUARYFU35;Blue;RUUARYFU35_BLUE
Men;Sweatshirts;Crew Neck Sweatshirts;Fleece;Bradley;44.0;WKKSCVZI3U;Turquoise;WKKSCVZI3U_TURQUOISE
Men;Sweatshirts;Crew Neck Sweatshirts;Fleece;Bradley;44.0;WKKSCVZI3U;Pink;WKKSCVZI3U_PINK
Men;Shoes;Boots;Leather;Griffin;179.0;EZ3W6PLWUC;Grey;EZ3W6PLWUC_GREY
Men;Shoes;Boots;Leather;Griffin;179.0;EZ3W6PLWUC;Maroon;EZ3W6PLWUC_MAROON
Men;Shoes;Boots;Leather;Griffin;179.0;EZ3W6PLWUC;Teal;EZ3W6PLWUC_TEAL
Men;Shoes;Boots;Leather;Griffin;179.0;EZ3W6PLWUC;Turquoise;EZ3W6PLWUC_TURQUOISE
Men;T-Shirts;Long Sleeve Tees;Rayon;Sarah;43.0;BKRMORVDKU;Magenta;BKRMORVDKU_MAGENTA
Men;T-Shirts;Long Sleeve Tees;Rayon;Sarah;43.0;BKRMORVDKU;Lime;BKRMORVDKU_LIME
Men;Sweatshirts;Zip-Up Sweatshirts;Fleece;Turner;69.0;QIC8MTXEVP;Olive;QIC8MTXEVP_OLIVE
Men;Sweatshirts;Zip-Up Sweatshirts;Fleece;Turner;69.0;QIC8MTXEVP;Green;QIC8MTXEVP_GREEN
Men;Sweatshirts;Zip-Up Sweatshirts;Fleece;Turner;69.0;QIC8MTXEVP;Orange;QIC8MTXEVP_ORANGE
Men;Sweatshirts;Zip-Up Sweatshirts;Fleece;Turner;69.0;QIC8MTXEVP;Turquoise;QIC8MTXEVP_TURQUOISE
Women;T-Shirts;Polo Shirts;Rayon;Scott;43.0;HLCTFNOXSS;Green;HLCTFNOXSS_GREEN
Women;T-Shirts;Polo Shirts;Rayon;Scott;43.0;HLCTFNOXSS;Black;HLCTFNOXSS_BLACK
Men;Shirts;Oxford Shirts;Silk;Garcia;28.0;TMBFCYVBS7;Silver;TMBFCYVBS7_SILVER
Men;Shirts;Oxford Shirts;Silk;Garcia;28.0;TMBFCYVBS7;Green;TMBFCYVBS7_GREEN
Men;Shirts;Oxford Shirts;Silk;Garcia;28.0;TMBFCYVBS7;Maroon;TMBFCYVBS7_MAROON
Men;Accessories;Hats;Synthetic;Navarro;26.0;VVWBF9UBX4;Purple;VVWBF9UBX4_PURPLE
Men;Accessories;Hats;Synthetic;Navarro;26.0;VVWBF9UBX4;Yellow;VVWBF9UBX4_YELLOW
Men;Accessories;Hats;Synthetic;Navarro;26.0;VVWBF9UBX4;Maroon;VVWBF9UBX4_MAROON
Men;Accessories;Hats;Synthetic;Navarro;26.0;VVWBF9UBX4;Turquoise;VVWBF9UBX4_TURQUOISE
Men;Accessories;Hats;Synthetic;Navarro;26.0;VVWBF9UBX4;Red;VVWBF9UBX4_RED
Women;Shorts;Denim Shorts;Cotton;Larson;40.0;QKP2HPKNLA;Red;QKP2HPKNLA_RED
Women;Shorts;Denim Shorts;Cotton;Larson;40.0;QKP2HPKNLA;Yellow;QKP2HPKNLA_YELLOW
Women;Trousers;Joggers;Suede;Adams;31.0;MBARCFRU05;Crimson;MBARCFRU05_CRIMSON
Women;Trousers;Joggers;Suede;Adams;31.0;MBARCFRU05;Beige;MBARCFRU05_BEIGE
Women;Trousers;Joggers;Suede;Adams;31.0;MBARCFRU05;Olive;MBARCFRU05_OLIVE
Women;Trousers;Joggers;Suede;Adams;31.0;MBARCFRU05;Navy;MBARCFRU05_NAVY
Women;Trousers;Joggers;Suede;Adams;31.0;MBARCFRU05;Grey;MBARCFRU05_GREY
Men;Tailoring;Tailored Jackets;Silk;Smith;210.0;FKZRGISFD7;Pink;FKZRGISFD7_PINK
Men;Tailoring;Tailored Jackets;Silk;Smith;210.0;FKZRGISFD7;Purple;FKZRGISFD7_PURPLE
Men;Tailoring;Tailored Jackets;Silk;Smith;210.0;FKZRGISFD7;White;FKZRGISFD7_WHITE
Men;Tailoring;Tailored Jackets;Silk;Smith;210.0;FKZRGISFD7;Grey;FKZRGISFD7_GREY
Men;Tailoring;Tailored Jackets;Silk;Smith;210.0;FKZRGISFD7;Yellow;FKZRGISFD7_YELLOW
Men;Tailoring;Tailored Jackets;Silk;Smith;210.0;FKZRGISFD7;Crimson;FKZRGISFD7_CRIMSON
Women;Tailoring;Tailored Jackets;Wool;Clarke;149.0;Q1PVKZCFXG;Green;Q1PVKZCFXG_GREEN
Women;Tailoring;Tailored Jackets;Wool;Clarke;149.0;Q1PVKZCFXG;White;Q1PVKZCFXG_WHITE
Women;Tailoring;Tailored Jackets;Wool;Clarke;149.0;Q1PVKZCFXG;Teal;Q1PVKZCFXG_TEAL
Women;Tailoring;Tailored Jackets;Wool;Clarke;149.0;Q1PVKZCFXG;Silver;Q1PVKZCFXG_SILVER
Women;Tailoring;Tailored Jackets;Wool;Clarke;149.0;Q1PVKZCFXG;Orange;Q1PVKZCFXG_ORANGE
Men;Knitwear;Turtlenecks;Cashmere;Cherry;87.0;RMGEVGNSDT;Crimson;RMGEVGNSDT_CRIMSON
Men;Knitwear;Turtlenecks;Cashmere;Cherry;87.0;RMGEVGNSDT;Magenta;RMGEVGNSDT_MAGENTA
Men;Knitwear;Turtlenecks;Cashmere;Cherry;87.0;RMGEVGNSDT;Grey;RMGEVGNSDT_GREY
Men;Knitwear;Turtlenecks;Cashmere;Cherry;87.0;RMGEVGNSDT;Pink;RMGEVGNSDT_PINK
Women;Shoes;Loafers;Leather;Garcia;153.0;BVMGGA55V8;Yellow;BVMGGA55V8_YELLOW
Women;Shoes;Loafers;Leather;Garcia;153.0;BVMGGA55V8;White;BVMGGA55V8_WHITE
Women;Shoes;Loafers;Leather;Garcia;153.0;BVMGGA55V8;Magenta;BVMGGA55V8_MAGENTA
Women;Shoes;Loafers;Leather;Garcia;153.0;BVMGGA55V8;Green;BVMGGA55V8_GREEN
Women;Shoes;Loafers;Leather;Garcia;153.0;BVMGGA55V8;Maroon;BVMGGA55V8_MAROON
Women;Shoes;Loafers;Leather;Garcia;153.0;BVMGGA55V8;Orange;BVMGGA55V8_ORANGE
Women;Shoes;Loafers;Leather;Garcia;153.0;BVMGGA55V8;Olive;BVMGGA55V8_OLIVE
Women;Shoes;Loafers;Leather;Garcia;153.0;BVMGGA55V8;Navy;BVMGGA55V8_NAVY
Men;Shoes;Boots;Leather;Carter;108.0;NCKN1ZDJOU;Navy;NCKN1ZDJOU_NAVY
Men;Shoes;Boots;Leather;Carter;108.0;NCKN1ZDJOU;Blue;NCKN1ZDJOU_BLUE
Men;Shoes;Boots;Leather;Carter;108.0;NCKN1ZDJOU;Black;NCKN1ZDJOU_BLACK
Men;Shoes;Boots;Leather;Carter;108.0;NCKN1ZDJOU;Teal;NCKN1ZDJOU_TEAL
Men;Accessories;Belts;Leather;Huffman;40.0;LXHVI3IP9Y;Green;LXHVI3IP9Y_GREEN
Men;Accessories;Belts;Leather;Huffman;40.0;LXHVI3IP9Y;Beige;LXHVI3IP9Y_BEIGE
Men;Accessories;Belts;Leather;Huffman;40.0;LXHVI3IP9Y;Lime;LXHVI3IP9Y_LIME
Men;Accessories;Belts;Leather;Huffman;40.0;LXHVI3IP9Y;Grey;LXHVI3IP9Y_GREY
Men;Accessories;Belts;Leather;Huffman;40.0;LXHVI3IP9Y;Pink;LXHVI3IP9Y_PINK
Men;Accessories;Belts;Leather;Huffman;40.0;LXHVI3IP9Y;Crimson;LXHVI3IP9Y_CRIMSON
Men;Accessories;Belts;Leather;Huffman;40.0;LXHVI3IP9Y;White;LXHVI3IP9Y_WHITE
Men;Accessories;Belts;Leather;Huffman;40.0;LXHVI3IP9Y;Black;LXHVI3IP9Y_BLACK
